degree distribution (probability density function of the degree in logarithmic bins) 
7.41406	0.168322
9.37013	0.0831829
11.5043	0.0510298
13.9737	0.041557
16.9451	0.0272517
20.619	0.0154991
24.5541	0.0149558
30.1458	0.00796951
36.5581	0.00586505
46.2857	0.00470614

degree distribution (degree-occurrences) 
7	0.15
8	0.106
9	0.097
10	0.057
11	0.057
12	0.058
13	0.041
14	0.035
15	0.038
16	0.03
17	0.036
18	0.025
19	0.013
20	0.016
21	0.016
22	0.018
23	0.023
24	0.017
25	0.012
26	0.014
27	0.008
28	0.009
29	0.012
30	0.008
31	0.007
32	0.006
33	0.006
34	0.007
35	0.007
36	0.01
37	0.007
38	0.004
39	0.004
40	0.002
41	0.002
42	0.002
43	0.005
44	0.007
45	0.003
46	0.004
47	0.004
48	0.008
49	0.004
50	0.005


--------------------------------------
community distribution (size-occurrences)
20	0.0588235
21	0.117647
22	0.0294118
23	0.0882353
24	0.0882353
25	0.0882353
26	0.0588235
27	0.0294118
28	0.0294118
30	0.0588235
31	0.0294118
35	0.0294118
36	0.0588235
37	0.0294118
38	0.0588235
39	0.0294118
41	0.0294118
45	0.0294118
47	0.0294118
48	0.0294118


--------------------------------------
mixing parameter
0	0.002
0.120902	0.061
0.142857	0.085
0.16339	0.069
0.183122	0.166
0.201615	0.214
0.222465	0.212
0.249481	0.1
0.273232	0.018
0.286327	0.07
0.333333	0.002
0.428571	0.001

--------------------------------------
