1	6
1	14
1	30
1	31
1	47
1	51
1	55
1	61
1	69
1	73
1	84
1	91
1	97
1	115
1	117
1	122
2	5
2	8
2	9
2	15
2	22
2	29
2	39
2	64
2	70
2	83
2	85
2	90
2	92
2	114
2	116
2	120
3	10
3	17
3	21
3	22
3	23
3	36
3	49
3	51
3	53
3	60
3	62
3	63
3	70
3	91
3	104
3	122
4	5
4	17
4	19
4	21
4	44
4	48
4	50
4	56
4	59
4	60
4	69
4	89
4	97
4	103
4	107
4	115
5	2
5	4
5	9
5	16
5	27
5	32
5	47
5	59
5	62
5	63
5	66
5	75
5	86
5	113
5	114
5	115
6	1
6	9
6	16
6	18
6	22
6	24
6	31
6	46
6	49
6	53
6	60
6	68
6	75
6	98
6	99
6	104
7	14
7	24
7	25
7	26
7	32
7	34
7	39
7	41
7	56
7	57
7	80
7	83
7	105
7	112
7	117
7	126
8	2
8	10
8	19
8	20
8	38
8	44
8	48
8	55
8	65
8	77
8	84
8	86
8	90
8	106
8	116
8	120
9	2
9	5
9	6
9	15
9	17
9	24
9	33
9	42
9	47
9	53
9	61
9	66
9	78
9	96
9	97
9	111
10	3
10	8
10	14
10	17
10	21
10	26
10	46
10	51
10	52
10	54
10	67
10	80
10	89
10	110
10	111
10	115
11	18
11	19
11	25
11	29
11	37
11	39
11	40
11	43
11	50
11	78
11	79
11	98
11	105
11	120
11	121
11	126
12	15
12	24
12	29
12	33
12	37
12	52
12	61
12	64
12	66
12	73
12	75
12	80
12	87
12	94
12	105
12	115
13	15
13	16
13	31
13	52
13	64
13	68
13	69
13	73
13	75
13	84
13	90
13	100
13	104
13	121
13	123
13	124
14	1
14	7
14	10
14	37
14	39
14	46
14	48
14	56
14	58
14	74
14	76
14	77
14	107
14	112
14	121
14	123
15	2
15	9
15	12
15	13
15	19
15	21
15	24
15	26
15	29
15	33
15	52
15	66
15	80
15	94
15	104
15	118
16	5
16	6
16	13
16	34
16	36
16	38
16	61
16	62
16	66
16	84
16	94
16	95
16	97
16	99
16	102
16	125
17	3
17	4
17	9
17	10
17	18
17	27
17	54
17	63
17	74
17	89
17	99
17	113
17	114
17	118
17	119
17	128
18	6
18	11
18	17
18	23
18	31
18	33
18	44
18	86
18	90
18	91
18	100
18	103
18	107
18	112
18	113
18	114
19	4
19	8
19	11
19	15
19	25
19	28
19	42
19	44
19	77
19	88
19	90
19	92
19	95
19	99
19	101
19	106
20	8
20	21
20	28
20	44
20	45
20	50
20	57
20	66
20	71
20	88
20	90
20	95
20	97
20	98
20	127
20	128
21	3
21	4
21	10
21	15
21	20
21	23
21	58
21	60
21	61
21	63
21	67
21	97
21	104
21	106
21	110
21	111
22	2
22	3
22	6
22	29
22	42
22	45
22	50
22	58
22	59
22	64
22	88
22	89
22	102
22	106
22	110
22	120
23	3
23	18
23	21
23	27
23	28
23	42
23	48
